11:57:23 [INFO] Initializing The Village...
11:57:23 [INFO] Screen: 1280x720
11:57:23 [INFO] Created new world with seed 2260465577
11:57:23 [INFO] Initialization complete
11:57:23 [INFO] Starting simulation loop
11:57:33 [DEBUG] Tick 100: pop=40, food=0.4, stability=0.65
11:57:43 [DEBUG] Tick 200: pop=40, food=0.1, stability=0.60
11:57:53 [DEBUG] Tick 300: pop=31, food=0.8, stability=0.67
11:58:03 [DEBUG] Tick 400: pop=26, food=0.7, stability=0.72
11:58:13 [DEBUG] Tick 500: pop=26, food=0.9, stability=0.72
11:58:23 [DEBUG] Tick 600: pop=25, food=0.9, stability=0.73
11:58:33 [DEBUG] Tick 700: pop=25, food=0.7, stability=0.72
11:58:43 [DEBUG] Tick 800: pop=25, food=0.9, stability=0.72
11:58:53 [DEBUG] Tick 900: pop=25, food=1.0, stability=0.74
11:59:03 [DEBUG] Tick 1000: pop=25, food=0.7, stability=0.73
11:59:13 [DEBUG] Tick 1100: pop=25, food=1.2, stability=0.73
11:59:23 [DEBUG] Tick 1200: pop=25, food=0.6, stability=0.73
11:59:33 [DEBUG] Tick 1300: pop=25, food=1.6, stability=0.72
11:59:43 [DEBUG] Tick 1400: pop=25, food=3.2, stability=0.72
11:59:53 [DEBUG] Tick 1500: pop=25, food=0.6, stability=0.71
12:00:03 [DEBUG] Tick 1600: pop=25, food=1.3, stability=0.71
12:00:13 [DEBUG] Tick 1700: pop=25, food=1.5, stability=0.71
12:00:23 [DEBUG] Tick 1800: pop=24, food=1.5, stability=0.71
12:00:33 [DEBUG] Tick 1900: pop=24, food=1.5, stability=0.71
12:00:43 [DEBUG] Tick 2000: pop=24, food=1.3, stability=0.70
12:00:53 [DEBUG] Tick 2100: pop=24, food=1.2, stability=0.70
12:01:03 [DEBUG] Tick 2200: pop=23, food=1.3, stability=0.70
12:01:13 [DEBUG] Tick 2300: pop=23, food=0.8, stability=0.70
12:01:23 [DEBUG] Tick 2400: pop=23, food=2.0, stability=0.69
12:01:33 [DEBUG] Tick 2500: pop=22, food=0.8, stability=0.69
12:01:43 [DEBUG] Tick 2600: pop=22, food=1.4, stability=0.69
12:01:53 [DEBUG] Tick 2700: pop=21, food=1.0, stability=0.70
12:02:03 [DEBUG] Tick 2800: pop=20, food=1.5, stability=0.71
12:02:13 [DEBUG] Tick 2900: pop=20, food=1.6, stability=0.71
12:02:23 [DEBUG] Tick 3000: pop=20, food=1.5, stability=0.70
12:02:23 [INFO] Auto-saved to saves\autosave.json
12:02:33 [DEBUG] Tick 3100: pop=20, food=1.7, stability=0.70
12:02:43 [DEBUG] Tick 3200: pop=20, food=1.1, stability=0.70
12:02:53 [DEBUG] Tick 3300: pop=20, food=2.0, stability=0.70
12:03:03 [DEBUG] Tick 3400: pop=20, food=1.6, stability=0.70
12:03:13 [DEBUG] Tick 3500: pop=20, food=1.8, stability=0.70
12:03:23 [DEBUG] Tick 3600: pop=20, food=1.3, stability=0.69
12:03:33 [DEBUG] Tick 3700: pop=20, food=1.7, stability=0.70
12:03:43 [DEBUG] Tick 3800: pop=20, food=1.6, stability=0.70
12:03:53 [DEBUG] Tick 3900: pop=20, food=2.1, stability=0.70
12:04:03 [DEBUG] Tick 4000: pop=20, food=1.9, stability=0.69
12:04:04 [INFO] Shutting down...
12:04:04 [INFO] Final save complete
12:04:04 [INFO] Shutdown complete
