13:48:36 [INFO] Initializing The Village...
13:48:36 [INFO] Screen: 1280x720
13:48:36 [INFO] Created new world with seed 2057842907
13:48:36 [INFO] Initialization complete
13:48:36 [INFO] Starting simulation loop
13:48:46 [DEBUG] Tick 100: pop=40, food=0.4, stability=0.67
13:48:56 [DEBUG] Tick 200: pop=40, food=1.0, stability=0.70
13:49:06 [DEBUG] Tick 300: pop=40, food=0.2, stability=0.73
13:49:16 [DEBUG] Tick 400: pop=40, food=0.9, stability=0.75
13:49:26 [DEBUG] Tick 500: pop=40, food=0.6, stability=0.75
13:49:36 [DEBUG] Tick 600: pop=40, food=1.0, stability=0.75
13:49:46 [DEBUG] Tick 700: pop=40, food=0.8, stability=0.74
13:49:56 [DEBUG] Tick 800: pop=40, food=1.3, stability=0.74
13:50:06 [DEBUG] Tick 900: pop=40, food=2.2, stability=0.74
13:50:16 [DEBUG] Tick 1000: pop=40, food=3.0, stability=0.74
13:50:26 [DEBUG] Tick 1100: pop=40, food=2.9, stability=0.74
13:50:36 [DEBUG] Tick 1200: pop=40, food=37.0, stability=0.79
13:50:46 [DEBUG] Tick 1300: pop=40, food=110.1, stability=0.88
13:50:56 [DEBUG] Tick 1400: pop=41, food=128.8, stability=0.90
13:51:06 [DEBUG] Tick 1500: pop=41, food=102.5, stability=0.87
13:51:16 [DEBUG] Tick 1600: pop=41, food=0.8, stability=0.74
13:51:26 [DEBUG] Tick 1700: pop=41, food=7.8, stability=0.75
13:51:36 [DEBUG] Tick 1800: pop=41, food=1.5, stability=0.74
13:51:46 [DEBUG] Tick 1900: pop=41, food=1.7, stability=0.74
13:51:56 [DEBUG] Tick 2000: pop=41, food=1.2, stability=0.74
13:52:06 [DEBUG] Tick 2100: pop=41, food=1.5, stability=0.74
13:52:16 [DEBUG] Tick 2200: pop=41, food=0.9, stability=0.74
13:52:26 [DEBUG] Tick 2300: pop=41, food=1.1, stability=0.74
13:52:36 [DEBUG] Tick 2400: pop=41, food=1.3, stability=0.74
13:52:46 [DEBUG] Tick 2500: pop=41, food=1.7, stability=0.74
13:52:56 [DEBUG] Tick 2600: pop=41, food=0.8, stability=0.74
13:53:06 [DEBUG] Tick 2700: pop=41, food=1.0, stability=0.74
13:53:16 [DEBUG] Tick 2800: pop=41, food=1.4, stability=0.74
13:53:26 [DEBUG] Tick 2900: pop=41, food=1.1, stability=0.74
13:53:36 [DEBUG] Tick 3000: pop=41, food=1.3, stability=0.74
13:53:36 [INFO] Auto-saved to saves\autosave.json
13:53:46 [DEBUG] Tick 3100: pop=41, food=1.4, stability=0.74
13:53:56 [DEBUG] Tick 3200: pop=41, food=1.6, stability=0.74
13:54:06 [DEBUG] Tick 3300: pop=41, food=1.1, stability=0.74
13:54:16 [DEBUG] Tick 3400: pop=41, food=1.4, stability=0.74
13:54:26 [DEBUG] Tick 3500: pop=41, food=1.7, stability=0.74
13:54:36 [DEBUG] Tick 3600: pop=41, food=1.0, stability=0.74
13:54:46 [DEBUG] Tick 3700: pop=41, food=0.8, stability=0.74
13:54:56 [DEBUG] Tick 3800: pop=41, food=1.5, stability=0.74
13:55:06 [DEBUG] Tick 3900: pop=41, food=1.5, stability=0.74
13:55:16 [DEBUG] Tick 4000: pop=41, food=1.0, stability=0.74
13:55:26 [DEBUG] Tick 4100: pop=41, food=1.5, stability=0.74
13:55:36 [DEBUG] Tick 4200: pop=41, food=1.5, stability=0.74
13:55:46 [DEBUG] Tick 4300: pop=41, food=1.0, stability=0.74
13:55:56 [DEBUG] Tick 4400: pop=41, food=1.6, stability=0.74
13:56:06 [DEBUG] Tick 4500: pop=41, food=1.0, stability=0.74
13:56:16 [DEBUG] Tick 4600: pop=41, food=1.5, stability=0.74
13:56:26 [DEBUG] Tick 4700: pop=41, food=1.4, stability=0.74
13:56:34 [INFO] Shutting down...
13:56:34 [INFO] Final save complete
13:56:34 [INFO] Shutdown complete
