14:57:10 [INFO] Initializing The Village...
14:57:11 [INFO] Screen: 1280x720
14:57:11 [INFO] Created new world with seed 1483737871
14:57:11 [INFO] Initialization complete
14:57:11 [INFO] Starting simulation loop
14:57:21 [DEBUG] Tick 100: pop=40, food=0.5, stability=0.66
14:57:31 [DEBUG] Tick 200: pop=40, food=0.8, stability=0.64
14:57:41 [DEBUG] Tick 300: pop=40, food=0.8, stability=0.60
14:57:51 [DEBUG] Tick 400: pop=25, food=0.0, stability=0.74
14:58:01 [DEBUG] Tick 500: pop=25, food=1.0, stability=0.75
14:58:11 [DEBUG] Tick 600: pop=25, food=0.3, stability=0.75
14:58:21 [DEBUG] Tick 700: pop=25, food=0.6, stability=0.75
14:58:31 [DEBUG] Tick 800: pop=25, food=0.9, stability=0.75
14:58:41 [DEBUG] Tick 900: pop=25, food=0.5, stability=0.75
14:58:51 [DEBUG] Tick 1000: pop=25, food=0.5, stability=0.74
14:59:01 [DEBUG] Tick 1100: pop=25, food=1.3, stability=0.75
14:59:11 [DEBUG] Tick 1200: pop=25, food=0.9, stability=0.74
14:59:21 [DEBUG] Tick 1300: pop=25, food=1.1, stability=0.75
14:59:31 [DEBUG] Tick 1400: pop=25, food=0.8, stability=0.74
14:59:41 [DEBUG] Tick 1500: pop=25, food=0.9, stability=0.74
14:59:51 [DEBUG] Tick 1600: pop=25, food=1.4, stability=0.74
15:00:01 [DEBUG] Tick 1700: pop=25, food=1.2, stability=0.74
15:00:11 [DEBUG] Tick 1800: pop=25, food=2.1, stability=0.74
15:00:21 [DEBUG] Tick 1900: pop=25, food=1.9, stability=0.74
15:00:31 [DEBUG] Tick 2000: pop=25, food=1.4, stability=0.74
15:00:41 [DEBUG] Tick 2100: pop=25, food=2.0, stability=0.74
15:00:51 [DEBUG] Tick 2200: pop=25, food=1.6, stability=0.74
15:01:01 [DEBUG] Tick 2300: pop=25, food=2.4, stability=0.74
15:01:11 [DEBUG] Tick 2400: pop=25, food=1.5, stability=0.74
15:01:21 [DEBUG] Tick 2500: pop=25, food=2.0, stability=0.73
15:01:31 [DEBUG] Tick 2600: pop=25, food=1.7, stability=0.73
15:01:41 [DEBUG] Tick 2700: pop=25, food=1.7, stability=0.72
15:01:51 [DEBUG] Tick 2800: pop=25, food=1.9, stability=0.73
15:02:01 [DEBUG] Tick 2900: pop=25, food=2.0, stability=0.72
15:02:11 [DEBUG] Tick 3000: pop=25, food=2.4, stability=0.72
15:02:11 [INFO] Auto-saved to saves\autosave.json
15:02:21 [DEBUG] Tick 3100: pop=25, food=1.9, stability=0.72
15:02:31 [DEBUG] Tick 3200: pop=25, food=2.4, stability=0.72
15:02:41 [DEBUG] Tick 3300: pop=25, food=2.8, stability=0.72
15:02:51 [DEBUG] Tick 3400: pop=24, food=2.1, stability=0.73
15:03:01 [DEBUG] Tick 3500: pop=24, food=2.2, stability=0.73
15:03:11 [DEBUG] Tick 3600: pop=24, food=2.8, stability=0.73
15:03:21 [DEBUG] Tick 3700: pop=24, food=2.7, stability=0.73
15:03:31 [DEBUG] Tick 3800: pop=24, food=2.9, stability=0.73
15:03:41 [DEBUG] Tick 3900: pop=24, food=2.9, stability=0.73
15:03:51 [DEBUG] Tick 4000: pop=24, food=2.9, stability=0.73
15:04:01 [DEBUG] Tick 4100: pop=24, food=3.0, stability=0.73
15:04:11 [DEBUG] Tick 4200: pop=24, food=2.5, stability=0.73
15:04:21 [DEBUG] Tick 4300: pop=24, food=2.1, stability=0.73
15:04:31 [DEBUG] Tick 4400: pop=24, food=2.1, stability=0.73
15:04:41 [DEBUG] Tick 4500: pop=24, food=3.2, stability=0.73
15:04:51 [DEBUG] Tick 4600: pop=24, food=2.5, stability=0.73
15:05:01 [DEBUG] Tick 4700: pop=24, food=3.2, stability=0.73
15:05:11 [DEBUG] Tick 4800: pop=24, food=3.2, stability=0.73
15:05:21 [DEBUG] Tick 4900: pop=24, food=3.1, stability=0.73
15:05:31 [DEBUG] Tick 5000: pop=24, food=4.6, stability=0.73
15:05:41 [DEBUG] Tick 5100: pop=24, food=3.8, stability=0.73
15:05:51 [DEBUG] Tick 5200: pop=24, food=4.9, stability=0.73
15:06:01 [DEBUG] Tick 5300: pop=24, food=4.6, stability=0.73
15:06:11 [DEBUG] Tick 5400: pop=24, food=4.3, stability=0.73
15:06:21 [DEBUG] Tick 5500: pop=24, food=2.8, stability=0.72
15:06:31 [DEBUG] Tick 5600: pop=24, food=2.8, stability=0.71
15:06:41 [DEBUG] Tick 5700: pop=24, food=3.1, stability=0.70
15:06:51 [DEBUG] Tick 5800: pop=23, food=3.8, stability=0.70
15:07:01 [DEBUG] Tick 5900: pop=22, food=3.1, stability=0.70
15:07:11 [DEBUG] Tick 6000: pop=22, food=3.2, stability=0.69
15:07:11 [INFO] Auto-saved to saves\autosave.json
15:07:21 [DEBUG] Tick 6100: pop=21, food=3.3, stability=0.70
15:07:31 [DEBUG] Tick 6200: pop=21, food=3.1, stability=0.70
15:07:41 [DEBUG] Tick 6300: pop=21, food=3.1, stability=0.70
15:07:51 [DEBUG] Tick 6400: pop=21, food=3.3, stability=0.70
15:08:01 [DEBUG] Tick 6500: pop=21, food=2.6, stability=0.70
15:08:11 [DEBUG] Tick 6600: pop=21, food=3.3, stability=0.70
15:08:21 [DEBUG] Tick 6700: pop=20, food=3.3, stability=0.70
15:08:31 [DEBUG] Tick 6800: pop=20, food=3.1, stability=0.68
15:08:41 [DEBUG] Tick 6900: pop=20, food=3.7, stability=0.68
15:08:51 [DEBUG] Tick 7000: pop=19, food=3.5, stability=0.68
15:09:01 [DEBUG] Tick 7100: pop=19, food=2.9, stability=0.69
15:09:11 [DEBUG] Tick 7200: pop=19, food=3.4, stability=0.69
15:09:21 [DEBUG] Tick 7300: pop=19, food=4.0, stability=0.69
15:09:31 [DEBUG] Tick 7400: pop=19, food=3.8, stability=0.69
15:09:41 [DEBUG] Tick 7500: pop=19, food=3.8, stability=0.69
15:09:51 [DEBUG] Tick 7600: pop=19, food=4.9, stability=0.69
